file,url,label
0265.json,https://pub-5f55dcf46e2c4e018b4bf54f43757e34.r2.dev/index.html,1
0835.json,https://pub-2e63cf2e06d3458d88136b6f050af040.r2.dev/index.html,1
0136.json,https://pub-cfba3e7d81b847b69459eff833c37fd5.r2.dev/index.html,1
0234.json,https://ajiwnastafdo.com/,1
0409.json,https://pub-d5e93dec79ef46339a6d95797a6e99df.r2.dev/index.html,1
0350.json,https://starvision.pages.dev,1
0242.json,https://acstrasbourg6.godaddysites.com/,1
0239.json,https://attuseryahoo.github.io/attyahoologin/,1
0106.json,https://www.amazingappclub.com/app/jp.japanpost.jp_bank.bankbookapp?utm_source=133896259867&amp;utm_medium=search&amp;utm_campaign=15520945349&amp;gad=1&amp;gclid=EAIaIQobChMItY-drZXR_wIVFsSWCh2bFAGcEAAYASAAEgIplvD_BwE,1
0543.json,https://pub-4d2b5dc50e1a4a649e40de2a122e99fd.r2.dev/index.html,1
0410.json,https://t.co/UWyngblYY8,1
0430.json,https://aqpouloqik766.wpenginepowered.com/wp-admin/includes/RZ54Z2/LSK98U2.htm,1
0148.json,http://usaconferencing.com/,1
0597.json,https://rcdpro.fr/Cal/,1
0066.json,http://pub-8376b5b2334844d193a525d8b8548fa5.r2.dev/b99.html,1
0230.json,http://studio-taddei.it/din/New%20folder/Indexxatt.htm,1
0725.json,https://61f0c7ab.597f2b0bd2ee11be5dc06abd.workers.dev/,1
0288.json,http://pub-082b4f0e49914620991d91d041239f8f.r2.dev/index.html,1
0705.json,https://s.przelewy24.pl/zznLstZBrLpa,1
0181.json,https://pub-234e608c53854d5b8b28d21bb1f60343.r2.dev/index.html,1
0417.json,https://sa-aramex.web.app/,1
0315.json,https://randomarts.netlify.app/,1
0358.json,https://sweepstakes803.godaddysites.com/,1
1566.json,https://hudhousingnetwork.com,0
1663.json,https://switchplayer.net,0
1233.json,https://bricoram.com,0
1376.json,https://la.com,0
1622.json,https://idebil.com,0
1878.json,https://privesexshop.com.br,0
1116.json,https://sararamedia.net,0
1680.json,https://prohost.pl,0
1045.json,https://dojki.biz,0
1443.json,https://oca.org,0
1547.json,https://love2kart.com,0
1117.json,https://csc.gov.au,0
1584.json,https://limex.de,0
1880.json,https://2orik-diploms.ru,0
1879.json,https://ucc.edu.jm,0
1480.json,https://livecasinos.com,0
1068.json,https://ytmp3.la,0
1422.json,https://complianceweek.com,0
1526.json,https://collectorsedition.org,0
1463.json,https://synap.ac,0
1038.json,https://hacker101.com,0
1741.json,https://anewbet789.com,0
1604.json,https://lyricstape.com,0
1700.json,https://ktelioannina.gr,0
1956.json,https://heatherwholeinvolve.com,0
1556.json,https://linkis.ru,0
1167.json,https://tigron.be,0
1075.json,https://littlestarsleotards.co.uk,0
1848.json,https://e-home2u.com,0
1059.json,https://strengthportal.com,0
1761.json,https://mourjan.com,0
1222.json,https://grabdriverth.com,0
1388.json,https://kube-ovn.io,0
1648.json,https://rcophth.ac.uk,0
1473.json,https://courses4.ru,0
1873.json,https://lembu4dactive.com,0
1465.json,https://kup-si.cz,0
1961.json,https://thcservers.com,0
1613.json,https://gl-systemhaus.de,0
1486.json,https://steadyhost.ru,0
1738.json,https://lahornacina.com,0
1684.json,https://kopps.com,0
1811.json,https://register.com.np,0
1450.json,https://boazauco.com,0
1755.json,https://webhostingfree.io,0
1885.json,https://ushistoryscene.com,0
1493.json,https://uscity.net,0
1190.json,https://tas71.com,0
1201.json,https://clubhouse.com,0
1082.json,https://faststart.ru,0
1688.json,https://betlab.club,0
1020.json,https://vegpulse.com,0
1165.json,https://azan.today,0
1962.json,https://zurka.us,0
1308.json,https://tuoinungvn.net,0
1426.json,https://otava.fi,0
1076.json,https://conferencealerts.com,0
1133.json,https://fish-master.com.ua,0
1670.json,https://super-hobby.it,0
1191.json,https://intrado.com,0
1607.json,https://warehousingsite.com,0
1996.json,https://nagano-hakken.jp,0
1369.json,https://34sp.com,0
1152.json,https://goaheadgo.top,0
1509.json,https://latvijasradio.lv,0
1724.json,https://maderuang.com,0
1421.json,https://blockdetector.org,0
1476.json,https://kra-28-cc.com,0
1821.json,https://communitydragon.org,0
1769.json,https://pomisna.info,0
1155.json,https://careercharmer.net,0
1378.json,https://motac.gov.my,0
1728.json,https://makeupmekka.com,0
1143.json,https://concept-phones.com,0
1354.json,https://englishbiodata.com,0
1092.json,https://pupspace.net,0
1483.json,https://pec-email.com,0
1968.json,https://utcb.ro,0
1713.json,https://fanatics.vip,0
1882.json,https://lovemedo.net,0
1752.json,https://woodardcurran.com,0
1791.json,https://doctoroz.com,0
1379.json,https://aboutus.com,0
1504.json,https://jawish.org,0
1898.json,https://findsspreadsheet.com,0
